,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,latitude,longitude,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky
0,2022-08-04,51.0,27.753,22.303,24.769667,31.690147,26.823467,28.843695,0,0,44209.535,35624.945,0.8,0.8,0.0,6.0,15.575981,35.64,237.15492,16.91,3.344748,Douala,4.0483,9.7043,19.474999999999998,12.683333333333332,192.45833333333334,1.01875,0.22916666666666666,53.25,0.2816666666666667,0.0,1.8937499999999998,2.347916666666667
1,2022-08-05,51.0,27.003,22.903,24.638418,30.849144,27.140068,28.609718,0,0,44198.777,31184.832,0.70000005,0.70000005,0.0,6.0,17.072504,36.719997,246.43025,14.8,2.9391003,Douala,4.0483,9.7043,21.087500000000002,14.275,213.91666666666666,1.1895833333333334,0.21041666666666667,52.458333333333336,0.25916666666666666,0.0,1.5145833333333334,2.3000000000000003
2,2022-08-06,55.0,28.203001,22.153,24.178001,33.463192,26.015505,28.399092,0,0,44187.918,34820.527,3.5999997,3.5999997,0.0,11.0,13.324863,30.239998,228.42003,15.98,3.0146565,Douala,4.0483,9.7043,14.512500000000001,9.916666666666666,201.5,1.1375,0.21041666666666667,51.875,0.145,0.0,1.24375,2.377083333333333
3,2022-08-07,51.0,27.653,22.603,24.66342,32.91684,26.624214,28.979774,0,0,44176.977,30192.93,0.2,0.2,0.0,2.0,14.799459,35.28,249.06953,15.24,3.0337675,Douala,4.0483,9.7043,20.895833333333332,14.25,211.58333333333334,1.6916666666666667,0.4708333333333334,49.291666666666664,0.15666666666666668,0.0,0.7312500000000001,2.4562500000000003
4,2022-08-08,51.0,27.703001,23.003,24.994665,31.993069,27.470306,29.261251,0,0,44165.953,36264.55,0.2,0.2,0.0,2.0,15.077082,34.92,236.19936,15.08,3.0134242,Douala,4.0483,9.7043,21.708333333333332,14.958333333333334,231.25,1.8354166666666665,0.5750000000000001,52.583333333333336,0.21291666666666667,0.0,1.33125,2.4270833333333335
5,2022-08-09,53.0,27.053,22.703001,24.669664,30.781746,27.370565,28.761404,0,0,44154.86,27373.422,2.6,2.6,0.0,10.0,14.773164,33.48,233.98964,12.84,2.4716733,Douala,4.0483,9.7043,17.516666666666666,12.049999999999999,211.0,1.6083333333333334,0.4770833333333333,53.791666666666664,0.27875,0.0,1.2166666666666666,2.2375
6,2022-08-10,63.0,25.253,22.653,23.817581,29.428207,27.385395,28.519463,0,0,44143.69,102.73636,13.9,13.9,0.0,19.0,9.339208,21.599998,284.72748,6.12,1.2419279,Douala,4.0483,9.7043,21.037499999999998,14.329166666666666,202.29166666666666,1.9666666666666668,0.4916666666666667,53.375,0.23166666666666666,0.0,0.9812500000000001,2.3354166666666667
7,2022-08-11,51.0,28.053,22.953001,24.738419,32.35899,27.504004,29.192621,0,0,44132.367,26110.172,0.70000005,0.70000005,0.0,6.0,12.819235,32.760002,244.09358,14.91,2.943385,Douala,4.0483,9.7043,27.95,18.995833333333334,233.16666666666666,2.341666666666667,0.5666666666666667,53.0,0.15958333333333333,0.0,0.5875,2.5187500000000003
8,2022-08-12,63.0,26.653,22.503,23.903,30.365726,26.608755,28.104982,0,0,44120.88,17796.86,8.3,8.3,0.0,11.0,15.629971,32.039997,265.21844,10.81,2.126636,Douala,4.0483,9.7043,28.804166666666664,19.808333333333334,286.0416666666667,2.285416666666667,0.69375,54.791666666666664,0.5216666666666666,0.0,0.5270833333333333,1.9104166666666667
9,2022-08-13,63.0,23.903,21.803,23.113413,28.58942,24.97903,26.937243,0,0,44109.234,117.297935,27.800005,27.800005,0.0,24.0,18.875126,40.68,219.73058,5.67,0.99325144,Douala,4.0483,9.7043,26.795833333333334,18.366666666666667,296.375,2.6479166666666667,0.5541666666666667,55.541666666666664,0.37875,0.0,0.7854166666666665,2.316666666666667
