date,latitude,longitude,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky,city
2024-11-26,4.0483,9.7043,241.0,10.4,1.8,28.0,0.45,5.0,0.0,0.0,Douala
2024-11-27,4.0483,9.7043,246.70833,4.85,1.0833334,55.333332,0.42333332,13.0,1.7770834,2.06875,Douala
2024-11-28,4.0483,9.7043,251.66667,5.975,0.8958333,50.75,0.35916665,20.166666,1.8729167,2.1770833,Douala
2024-11-29,4.0483,9.7043,238.25,5.9083333,0.74583334,46.958332,0.32625,12.833333,1.3874999,2.2583334,Douala
2024-11-30,4.0483,9.7043,333.33334,6.508333,1.025,49.75,0.39458334,12.125,1.8333334,2.1020832,Douala
2024-12-01,4.0483,9.7043,359.16666,6.5333333,0.95416665,49.708332,0.41166666,11.166667,1.5166668,2.0854166,Douala
2024-12-02,4.0483,9.7043,382.0,10.2,1.4,23.0,0.42,9.0,0.0,0.0,Douala
2024-11-26,3.8667,11.5167,218.0,1.8,0.3,51.0,0.33,4.0,0.0,0.0,Yaoundé
2024-11-27,3.8667,11.5167,242.33333,2.875,0.67083335,64.291664,0.27708334,23.0,2.0833333,2.3166668,Yaoundé
2024-11-28,3.8667,11.5167,275.66666,5.6875,1.4416666,61.291668,0.2825,27.708334,2.1395833,2.3583333,Yaoundé
2024-11-29,3.8667,11.5167,268.20834,4.5958333,1.0708333,59.75,0.33291665,19.666666,1.9333334,2.3145833,Yaoundé
2024-11-30,3.8667,11.5167,323.83334,3.8791666,1.0708333,69.375,0.38166666,30.583334,2.1583333,2.2083333,Yaoundé
2024-12-01,3.8667,11.5167,297.5,2.5375001,0.71250004,74.166664,0.34666666,21.333334,2.1416667,2.20625,Yaoundé
2024-12-02,3.8667000000000002,11.5167,245.0,1.6,0.1,58.0,0.28,2.0,0.0,0.0,Yaoundé
2024-11-26,5.4737,10.4179,334.0,15.3,2.7,40.0,0.29,44.0,0.0,0.0,Bafoussam
2024-11-27,5.4737,10.4179,346.33334,10.004167,2.2,72.708336,0.30958334,82.166664,2.0041666,2.2416666,Bafoussam
2024-11-28,5.4737,10.4179,357.58334,10.808333,2.425,72.625,0.26125,63.666668,2.3166666,2.3708332,Bafoussam
2024-11-29,5.4737,10.4179,340.5,13.375,2.8916667,66.25,0.28041667,43.333332,2.1812499,2.3854167,Bafoussam
2024-11-30,5.4737,10.4179,632.9167,11.808333,2.5708334,71.5,0.31375,50.333332,2.2395833,2.26875,Bafoussam
2024-12-01,5.4737,10.4179,711.2917,11.008334,2.4083333,74.5,0.31583333,40.666668,2.2479167,2.2520833,Bafoussam
2024-12-02,5.4737,10.4179,931.0,15.3,2.7,42.0,0.37,27.0,0.0,0.0,Bafoussam
2024-11-26,5.9527,10.1582,325.0,8.9,1.9,65.0,0.31,116.0,0.0,0.0,Bamenda
2024-11-27,5.9527,10.1582,305.625,5.441667,1.1999999,74.25,0.30666667,126.916664,2.0041666,2.2,Bamenda
2024-11-28,5.9527,10.1582,288.875,6.3416667,1.2624999,74.041664,0.31041667,95.833336,2.0666668,2.2666667,Bamenda
2024-11-29,5.9527,10.1582,316.45834,6.366667,1.3333334,74.75,0.33,66.541664,1.7458334,2.28125,Bamenda
2024-11-30,5.9527,10.1582,435.83334,6.2291665,1.3375,77.166664,0.35916665,61.25,2.0562499,2.1812499,Bamenda
2024-12-01,5.9527,10.1582,466.25,5.7708335,1.3166667,79.708336,0.37541667,57.416668,1.9875001,2.1520834,Bamenda
2024-12-02,5.9527,10.1582,514.0,7.7,1.8,76.0,0.39,79.0,0.0,0.0,Bamenda
2024-11-26,10.591,14.3159,194.0,3.2,0.4,46.0,0.15,58.0,0.0,0.0,Maroua
2024-11-27,10.591,14.3159,187.79167,2.4416666,0.44583333,58.916668,0.18416667,122.666664,1.9708333,1.9708333,Maroua
2024-11-28,10.591,14.3159,205.75,2.5708334,0.5625,62.458332,0.20708333,154.20833,1.9583334,1.9583334,Maroua
2024-11-29,10.591,14.3159,218.125,2.6625001,0.5625,62.458332,0.295,131.79167,1.8645834,1.8645834,Maroua
2024-11-30,10.591,14.3159,205.45833,2.7083333,0.75416666,68.041664,0.3125,95.291664,1.8583332,1.8583332,Maroua
2024-12-01,10.591,14.3159,204.0,2.5041666,0.7416666,69.125,0.24874999,97.0,1.8708334,1.8854166,Maroua
2024-12-02,10.591,14.3159,225.0,3.6,0.8,54.0,0.22,70.0,0.0,0.0,Maroua
2024-11-26,7.3167,13.5833,196.0,1.9,0.3,68.0,0.16,61.0,0.0,0.0,Ngaoundéré
2024-11-27,7.3167,13.5833,158.75,1.1791667,0.32916668,73.916664,0.15666667,56.208332,2.31875,2.3374999,Ngaoundéré
2024-11-28,7.3167,13.5833,161.54167,1.3874999,0.41666666,75.208336,0.19458334,58.666668,2.3062499,2.3145833,Ngaoundéré
2024-11-29,7.3167,13.5833,178.125,1.4,0.5416667,82.25,0.2475,63.375,2.2541666,2.2583334,Ngaoundéré
2024-11-30,7.3167,13.5833,211.08333,1.3958334,0.6041667,85.875,0.26208332,54.833332,2.20625,2.20625,Ngaoundéré
2024-12-01,7.3167,13.5833,217.375,1.4208332,0.7166667,87.5,0.22833334,43.791668,2.2124999,2.2124999,Ngaoundéré
2024-12-02,7.3167,13.583299999999998,229.0,2.0,0.8,86.0,0.22,48.0,0.0,0.0,Ngaoundéré
2024-11-26,4.1527,9.241,239.0,8.9,1.2,31.0,0.45,9.0,0.0,0.0,Buea
2024-11-27,4.1527,9.241,245.41667,4.7458334,1.0833334,57.416668,0.41416666,23.333334,1.5479165,2.125,Buea
2024-11-28,4.1527,9.241,240.16667,6.754167,0.9083333,53.625,0.37208334,27.958334,1.3916668,2.1666667,Buea
2024-11-29,4.1527,9.241,210.83333,5.7000003,0.9291666,54.666668,0.31833333,15.5,1.3104167,2.2833333,Buea
