weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,date,city,latitude,longitude,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky
80.0,31.396,24.746,27.331413,37.62576,30.25235,32.85973,42876.06,38692.01,1.8000002,0.0,10.0,10.948973,27.359999,183.48924,19.77,4.1430545,2024-11-27,Douala,9.7043,9.7043,327.0,6.2,1.1,40.0,0.43,10.0,0.0,0.0
80.0,30.796,24.846,27.21058,36.525414,30.725254,32.884296,42870.215,38533.855,1.3000001,0.0,5.0,10.086427,28.44,202.93219,18.1,3.7773168,2024-11-28,Douala,9.7043,9.7043,278.875,4.8541665,0.8333333,55.916668,0.35708332,18.541666,1.6854167,2.1979167
80.0,31.995998,25.096,27.779333,37.79682,30.940575,33.414654,42864.57,37341.312,1.4000001,0.0,3.0,11.246759,27.359999,190.79944,18.93,4.044914,2024-11-29,Douala,9.7043,9.7043,248.66667,6.7708335,0.9791667,45.833332,0.37625,12.708333,1.4187499,2.1958334
80.0,32.946,25.596,28.083498,39.654755,31.685501,33.87513,42859.133,35590.586,0.4,0.0,1.0,13.783817,33.12,194.4594,19.86,4.2772727,2024-11-30,Douala,9.7043,9.7043,258.08334,6.4500003,0.99583334,48.416668,0.45708334,10.166667,1.625,2.0479167
45.0,32.246,25.196,27.868917,38.215282,31.414322,33.47325,42853.902,38476.973,0.6,0.0,6.0,13.513193,33.12,194.58891,19.14,4.076623,2024-12-01,Douala,9.7043,9.7043,241.08333,6.75,0.9791667,49.583332,0.45208335,10.625,1.4541665,2.0354166
80.0,32.246,25.396,27.962664,38.449467,31.730064,33.537968,42848.9,37587.453,0.8,0.0,7.0,13.493999,33.12,198.88034,19.42,4.1510534,2024-12-02,Douala,9.7043,9.7043,343.25,5.9874997,0.9291666,52.125,0.42,12.708333,1.5041666,2.04375
80.0,33.046,24.596,28.01683,38.970768,30.30199,33.33623,42844.117,38273.688,0.4,0.0,2.0,15.021105,37.079998,198.1481,19.85,4.30525,2024-12-03,Douala,9.7043,9.7043,401.0,9.5,1.2,27.0,0.41,9.0,0.0,0.0
3.0,29.835999,21.136,25.036001,31.589592,24.395657,27.359053,42899.652,40042.32,0.0,0.0,0.0,13.746156,33.12,40.756123,23.43,4.78308,2024-11-27,Yaoundé,11.5167,11.5167,259.0,3.3,0.7,50.0,0.26,12.0,0.0,0.0
3.0,30.286,19.636,24.992249,32.099155,21.5284,26.72893,42894.004,39454.816,0.0,0.0,0.0,11.304229,28.08,82.7859,22.27,4.770539,2024-11-28,Yaoundé,11.5167,11.5167,294.875,5.741667,1.4208332,60.416668,0.32208332,27.833334,2.15625,2.3479166
45.0,30.636,20.585999,25.075584,32.506573,23.825523,27.605568,42888.55,39471.867,0.0,0.0,0.0,11.435313,28.44,46.45634,23.7,4.886363,2024-11-29,Yaoundé,11.5167,11.5167,284.375,5.5625,1.4416666,56.791668,0.41666666,22.458334,2.06875,2.21875
45.0,31.136,20.835999,25.454752,33.010822,24.346617,28.121222,42883.297,38336.67,0.0,0.0,0.0,9.511088,24.119999,38.480236,22.77,4.8136187,2024-11-30,Yaoundé,11.5167,11.5167,270.54166,4.616667,1.3166667,67.041664,0.4325,26.083334,2.1208334,2.1499999
